nombre,url,notas_salida,notas_corazon,notas_fondo,clima_primavera,clima_verano,clima_otono,clima_invierno,clima_dia,clima_noche,genero,familia_olfativa,descripcion,ocasiones,colecciones,imagen_path
Terre d'Hermes,,Naranja|Bergamota|Pomelo,Pimienta|Flouve|Pelargonio,Vetiver|Cedro|Benjuí|Pachulí,1,1,1,1,1,1,Hombre,,"Fragancia fresca y amaderada con un carácter mineral y cítrico, inspirada en la tierra y los elementos naturales.",Día|Noche,,
Fahrenheit,,Bergamota|Lavanda|Limón|Manzana,Geranio|Rosa|Violeta|Nuez moscada,Cuero|Almizcle|Sándalo|Vetiver|Benjuí,5,3,7,8,6,8,Hombre,,"Fahrenheit es un perfume icónico que combina notas frescas y cálidas, creando una fragancia única y masculina.",Día|Noche,,
Y,,Bergamota|Lavanda|Notas acuáticas,Geranio|Hojas de violeta|Sándalo,Musgo de roble|Almizcle|Ámbar gris,8,7,6,5,9,6,Hombre,,Perfume fresco y moderno con una combinación de notas aromáticas y amaderadas que evoca elegancia y vitalidad.,Día|Noche,,
Club de Nuit Intense Man,,Limón|Piña|Notas de mar|Notas frutales|Notas verdes|Bergamota,Jazmín|Lavanda|Notas especiadas|Notas aromáticas|Notas herbáceas,Ámbar gris|Almizcle|Notas maderosas|Notas secas|Notas de cuero,0,0,1,1,0,1,Hombre,,Aroma intenso y duradero con notas cítricas y amaderadas. Ideal para ocasiones especiales y uso nocturno.,Noche,,
9PM,,Manzana|Canela|Lavanda|Bergamota,Naranja|Lirio,Vainilla|Madera de sándalo|Fava Tonka|Ámbar,0,0,1,1,0,1,Hombre,,"9PM de Afnan es una fragancia ámbar vainilla para hombres, lanzada en 2020. Es una fragancia intensa y duradera, ideal para la noche.",Noche,,
Hawas,,manzana|bergamota|limón|canela,ciruela|naranja amarga|cardamomo|pimienta rosa,vainilla|ámbar|madera de gaiac|cuero,1,1,1,1,1,1,Hombre,,"Hawas es una fragancia fresca y vibrante con un toque oriental, ideal para hombres modernos y enérgicos.",Día|Noche,,
Asad,,Notas especiadas|Notas cítricas,Notas amaderadas|Notas aromáticas,Ámbar|Notas orientales|Notas amaderadas,0,0,0,0,0,0,Hombre,,Asad es una fragancia oriental amaderada con un carácter intenso y duradero. Ideal para quienes buscan una esencia masculina y sofisticada.,Noche,,
Khamrah,,Pimienta|Canela|Cardamomo,Praliné|Frutas|Ámbar,Vainilla|Pachulí|Sándalo|Madera de oud|Ámbar gris,0,0,1,1,0,1,Unisex,,"Khamrah es una fragancia oriental especiada con una combinación cálida y envolvente de especias, frutas y maderas preciosas.",Noche,,
Toy Boy,,Bergamota|Nuez moscada|Pera,Absoluto de rosa|Clavo,Fava Tonka|Ámbar|Sándalo,1,1,1,1,1,1,Hombre,,Fragancia moderna y seductora que combina notas frescas y especiadas con un fondo cálido y amaderado.,Día|Noche,,
Phantom,,Lavanda|Limón|Bergamota,Lavanda|Geranio|Salvia esclarea,Ámbar|Incienso|Madera de cachemira|Vainilla,1,1,1,1,1,1,Hombre,,Phantom es una fragancia moderna y vibrante que combina notas energéticas con un toque sensual y adictivo.,Día|Noche,,
Valentino Uomo Born In Roma,,Bergamota|Vitamina E|Notas acuáticas,Café|Salvia esclarea|Notas amaderadas,Vetiver|Frijol de tonka|Notas ambaradas,1,0,1,1,1,1,Hombre,,"Una fragancia que combina la frescura de la bergamota con la intensidad del vetiver y el café, creando un aroma sofisticado y moderno.",Día|Noche,,
Hacivat,,piña|bergamota|pomelo,cedro de Virginia|hierba de patchouli|jazmín,musgo de roble|ámbar gris|almizcle,1,1,1,0,1,1,Unisex,,Hacivat es una fragancia fresca y sofisticada que combina notas frutales y verdes con un fondo amaderado y cálido. Ideal para quienes buscan una esencia equilibrada y versátil.,Día|Noche,,
Aventus,,Piña|Manzana|Bergamota|Melocotón,Rosa|Iris|Jazmín,Humo|Sándalo|Vetiver|Musgo de Roble,8,7,6,5,9,8,Hombre,,"Aventus es una fragancia icónica y audaz que combina notas frutales frescas con un fondo ahumado y amaderado, creando una experiencia olfativa poderosa y sofisticada.",Día|Noche,,
Good Girl Blush,,Bergamota|Lichi|Flor de almendro,Rosa|Jazmín|Tubérea,Vainilla|Sándalo|Frijol tonka|Praliné,8,6,7,9,7,9,Mujer,,"Good Girl Blush es una fragancia femenina y seductora que combina notas dulces y florales con un toque de vainilla, ideal para mujeres que buscan un aroma moderno y sofisticado.",Día|Noche,,
La Vie Est Belle,,Pera|Praliné|Flor de Azahar del Naranjo|Pachulí,Iris|Jazmín|Girasol,Pachulí|Frijol Tonka|Vainilla|Almizcle,1,1,1,1,1,1,Mujer,,Un perfume radiante y alegre que celebra la felicidad y la belleza de la vida.,Día|Noche,,
Black Opium,,Pera|Naranja|Higuera,Jazmín|Café|Lirio de los Valles,Vainilla|Pachulí|Almizcle,0,0,1,1,0,1,Mujer,,Black Opium de Yves Saint Laurent es un perfume oriental moderno y adictivo que combina notas dulces y especiadas con un toque de café para crear una fragancia intensa y seductora.,Noche,,
Libre,,lavanda|naranja amarga,jazmín|muguet|flor de naranjo,vainilla|almizcle|cedro,8,7,6,5,8,7,Mujer,,Libre de Yves Saint Laurent es un perfume floral amaderado que combina la libertad y la feminidad con notas vibrantes y sensuales.,Día|Noche,,
Cloud,,Bergamota|Pera|Lavanda,Crema de coco|Praliné|Violeta,Madera de cachemira|Almizcle|Vainilla,1,1,1,1,1,1,Mujer,,Cloud es un perfume dulce y cremoso que evoca una sensación de confort y suavidad. Combina notas gourmand con acordes aterciopelados.,Día|Noche,,
Sweet Like Candy,,arándano|lima|frambuesa,crema batida|flor de azahar del naranjo|mora,malvavisco|vainilla|musk,8,7,6,8,9,7,Mujer,,"Un perfume dulce y afrutado que evoca la sensación de un postre delicioso, ideal para mujeres jóvenes y modernas.",Día|Noche,,
Thank U Next,,Pera|Frambuesa|Bergamota,Flor de Loto|Rosa búlgara|Flor de algodón,Almizcle cremoso|Coco|Ámbar,8,7,6,5,9,7,Mujer,,Agradecimiento y dulzura en una fragancia que combina notas frutales con un corazón floral y un fondo cremoso.,Día|Noche,,
Ari,,Pera|Frambuesa|Toronja (pomelo),Rosa|Violeta|Flor de lirio,Almizcle|Ámbar|Madera de cachemira|Malvavisco (nube),8,7,6,5,8,7,Mujer,,Ari es un perfume dulce y juvenil que combina notas frutales con un toque gourmand. Ideal para mujeres que buscan un aroma divertido y coqueto.,Día|Noche,,
212 VIP Rose,,Lichi|Frambuesa,Rosa|Pétalos de rosa,Almizcle|Ámbar,8,7,6,5,8,7,Mujer,,212 VIP Rose de Carolina Herrera es una fragancia floral frutal diseñada para mujeres que buscan un aroma fresco y sofisticado. Combina notas frutales vibrantes con un corazón floral delicado y un fondo cálido y sensual.,Día|Noche,,
J'adore,,Mandarina|Melón|Pera|Melocotón|Bergamota,Jazmín Sambac|Violeta|Orquídea|Rosa Damascena|Lirio de los valles,Almizcle|Violeta|Sándalo|Cedro|Frijol Tonka|Vainilla,8,7,6,5,9,7,Mujer,,"J'adore de Dior es un perfume floral frutal icónico que combina la elegancia de las flores con la frescura de las frutas, creando una fragancia sofisticada y radiante.",Día|Noche,,
Miss Dior,,Pera|Naranja sanguina|Naranja amarga,Rosa damascena|Jazmín,Pachulí|Almizcle,8,7,6,5,9,6,Mujer,,"Un perfume floral frutal con un toque fresco y juvenil, ideal para mujeres modernas y románticas.",Día|Noche,,
Chanel No 5,,Ylang-ylang|Naranja|Bergamota|Limón|Neroli,Jazmín|Rosa|Iris|Lila,Sándalo|Ámbar|Almizcle|vainilla|Vetiver|Pachulí,1,1,1,1,1,1,Mujer,,"Chanel No 5 es un perfume icónico y atemporal, lanzado en 1921. Es una fragancia sofisticada y elegante que combina notas florales con aldehídos para crear una experiencia olfativa única.",Día|Noche,,
Coco Mademoiselle,,Naranja|Bergamota|Pomelo|Mandarina,Jazmín|Rosa|Lirio de los valles|Ylang-ylang,Vetiver|Pachulí|Vainilla|Almizcle blanco|Opoponax|Benjuí,1,1,1,1,1,1,Mujer,,Un perfume sofisticado y moderno que combina notas florales y orientales con un toque de frescura cítrica.,Día|Noche,,
Light Blue,,Manzana|Bambú|Cítricos,Peonía|Rosa|Jazmín,Cedro|Sándalo|Almizcle,1,1,0,0,1,0,Mujer,,Perfume fresco y vibrante que combina notas frutales y florales con un fondo amaderado y almizclado.,Día,,
Bright Crystal,,Granada|Yuzu|Agua de hielo,Peonía|Magnolia|Flor de loto,Almizcle|Ámbar|Caoba,1,1,0,0,1,0,Mujer,,Una fragancia fresca y radiante que combina notas frutales y florales con un toque de almizcle.,Día|Noche,,
Scandal,,Jazmín de Sambac,Miel,"Raíz de lirio, Pachulí",0,0,1,1,0,1,Mujer,,"Scandal es una fragancia oriental floral que combina notas dulces y cremosas con un toque de miel y jazmín, creando una estela seductora y moderna.",Noche,,
Lady Million,,Bergamota|Limón (lima ácida)|Frambuesa,Neroli|Azahar|Jazmín,Miel|Ámbar|Almizcle,1,1,1,0,1,1,Mujer,,Un perfume vibrante y seductor con una combinación de notas frutales y florales que evoca lujo y feminidad.,Día|Noche,,
Olympea,,Bergamota|Jazmín acuático|Naranja amarga,Jengibre|Flor de azahar del naranjo|Melocotón,Ámbar gris|Sándalo|Vainilla|Almendras,1,1,1,1,1,1,Mujer,,Fragancia oriental floral que combina notas acuáticas con un corazón floral y un fondo amaderado y dulce. Ideal para una mujer moderna y poderosa.,Día|Noche,,
Idole,,Pera|Bergamota|Jazmín|Rosa,Rosa|Jazmín|Lirio de los valles|Pera,Almizcle blanco|Incienso|Sándalo|Madera de cachemira,8,7,6,5,9,7,Mujer,,"Idôle de Lancôme es un perfume floral chipre que combina notas frutales y especiadas con un fondo amaderado. Es una fragancia moderna y luminosa, diseñada para mujeres seguras y empoderadas.",Día|Noche,,
Si,,Cassis|Notas verdes|Notas frutales,Rosa de mayo|Frésia|Violeta,Manteca de vainilla|Almizcle|Patchouli|Ámbar,1,1,1,1,1,1,Mujer,,Un perfume elegante y sofisticado que combina notas frutales con un fondo chipre intenso. Ideal para la mujer moderna y segura de sí misma.,Día|Noche,,
My Way,,Bergamota|Naranja,Jazmín egipcio|Tuberosa,Haba tonka|Vainilla|Madera de cedro|Ámbar blanco,1,1,1,1,1,1,Mujer,,"Eau de Parfum floral con notas de naranja, jazmín y vainilla. Una fragancia que evoca encuentros y conexiones.",Día|Noche,,
Can Can,,Clementina|Néctar de frambuesa|Cassis,Orquídea salvaje|Narciso,Almizcle|Ámbar|Caoba,8,6,7,5,8,6,Mujer,,"Can Can es una fragancia floral frutal con un toque dulce y sensual, ideal para la mujer moderna y coqueta.",Día|Noche,,
Fantasy,,Lichi|Kiwi|Ruibarbo,Jazmín|Chocolate blanco|Lirio de los valles,Madera de cachemira|Almizcle|Raíz de angélica,1,1,1,1,1,1,Mujer,,"Fragancia dulce y sensual con notas frutales y florales, ideal para el uso diario.",Día|Noche,,
Yara,,Limón|Pera|Bergamota,Jazmín|Rosa|Violeta,Almizcle|Ámbar|Sándalo,1,1,1,1,1,1,Mujer,,"Yara de Lattafa es un perfume floral frutal que combina notas dulces y suaves, ideal para uso diario.",Día|Noche,,
Baccarat Rouge 540,,Azafrán|Jazmín,Ámbar gris|Ámbar gris,Resina de abeto|Cedro|Ámbar gris,1,0,1,1,0,1,Unisex,,Fragancia luminosa y adictiva que combina notas florales y ambaradas con un toque gourmand. Su estela es intensa y duradera.,Noche,,
Santal 33,,Cardamomo|Iris|Pimienta Violeta,Violeta|Ambrox|Sándalo,Cedro|Cuero|Almizcle,1,1,1,1,1,1,Unisex,,"Una fragancia icónica que combina notas amaderadas y especiadas, creando una estela sofisticada y adictiva.",Día|Noche,,
Tobacco Vanille,,Tabaco|Especias,Tonka|Flor de tabaco|Vainilla,Cacao|Frutos secos|Madera de árboles secos,0,0,1,1,0,1,Unisex,,Tobacco Vanille es una fragancia oriental intensa y lujosa que combina la calidez del tabaco con la dulzura de la vainilla. Ideal para quienes buscan un aroma sofisticado y envolvente.,Noche,,
Lost Cherry,,Cereza negra|Albaricoque|Almendra amarga|Alcohol etílico,Cereza negra|Sirope de cereza|Jazmín de Sambac|Rosa turca,Frijol tonka|Sándalo|Cedro|Canela|Miel|Incienso|Vetiver|Ámbar gris|Cuero,0,0,1,1,0,1,Unisex,,"Un perfume que combina cereza dulce con notas de almendra y cuero, creando una fragancia adictiva y sofisticada.",Noche,,
Ombre Nomade,,Bálsamo de abedul|Cardamomo,Rosa,Madera de oud|Ámbar gris|Resina de benjuí|Jazmín,0,0,1,1,0,1,Unisex,,Una fragancia intensa y misteriosa que evoca el espíritu nómada con notas de oud y especias exóticas.,Noche,,
CK One,,Piña|Papaya|Mandarina|Ficus,Orquídea|Nuez Moscada|Bambú,Ámbar|Almizcle|Madera de Sándalo,8,9,6,4,9,5,Unisex,,CK One es un perfume fresco y energizante que combina notas cítricas con un toque floral y amaderado. Ideal para uso diario.,Día,,
